name,field_office,address_line1,city,state,postal_code,country,phone,address_full,detail_url,latitude,longitude,trac_type_detailed,trac_guaranteed_minimum,trac_average_daily_population,trac_as_of
FDC Philadelphia,Philadelphia Field Office,700 Arch Street,Philadelphia,PA,19106,United States,,"700 Arch Street Philadelphia, PA 19106 United States",https://www.ice.gov/detain/detention-facilities/fdc-philadelphia,39.9526835,-75.1521168,BOP,,94,11/28/2025
"Federal Correctional Institution - Berlin, NH",Boston Field Office,1 Success Loop Rd,Berlin,NH,03570,United States,,"1 Success Loop Rd Berlin, NH 03570 United States",https://www.ice.gov/detain/detention-facilities/federal-correctional-institution-berlin-nh,44.5213005,-71.1360472,,,,
"Federal Detention Center, Honolulu (FDC Honolulu)",San Francisco Field Office,351 Elliott Street,Honolulu,HI,96819,United States,,"351 Elliott Street Honolulu, HI 96819 United States",https://www.ice.gov/detain/detention-facilities/federal-detention-center-honolulu-fdc-honolulu,21.3338725,-157.9279267,,,,
Florence Service Processing Center,Phoenix Field Office,3250 N. Pinal Parkway,Florence,AZ,85132,United States,,"3250 N. Pinal Parkway Florence, AZ 85132 United States",https://www.ice.gov/detain/detention-facilities/florence-spc,33.0639503,-111.3794387,SPC,392,321,11/28/2025
Folkston D Ray ICE Processing Center,Atlanta Field Office,3262 Hwy 252E,Folkston,GA,31537,United States,,"3262 Hwy 252E Folkston, GA 31537 United States",https://www.ice.gov/detain/detention-facilities/folkston-d-ray-ice-processing-center,30.8305102,-82.0098375,,,,
Folkston ICE Processing Center (Annex),Atlanta Field Office,3424 Hwy 252 E,Folkston,GA,31537,United States,,"3424 Hwy 252 E Folkston, GA 31537 United States",https://www.ice.gov/detain/detention-facilities/folkston-ice-processing-center-annex,30.8749079,-81.9806924,,,,
Folkston ICE Processing Center (Main),Atlanta Field Office,3026 Hwy 252 East,Folkston,GA,31537,United States,,"3026 Hwy 252 East Folkston, GA 31537 United States",https://www.ice.gov/detain/detention-facilities/folkston-ice-processing-center-main,30.8763257,-81.97801609999999,,,,
Freeborn County Jail Services,St. Paul Field Office,411 S. Broadway Avenue,Albert Lea,MN,56007,United States,,"411 S. Broadway Avenue Albert Lea, MN 56007 United States",https://www.ice.gov/detain/detention-facilities/freeborn-county-jail-services,43.6459816,-93.3681003,,,,
Geauga County Safety Center,Detroit Field Office,12450 Merritt Road,Chardon,OH,44024,United States,,"12450 Merritt Road Chardon, OH 44024 United States",https://www.ice.gov/detain/detention-facilities/geauga-county-safety-center,41.5046752,-81.1915623,,,,
Glades County Detention Center,Miami Field Office,1297 East SR 78,Moore Haven,FL,33471,United States,,"1297 East SR 78 Moore Haven, FL 33471 United States",https://www.ice.gov/detain/detention-facilities/glades-county-detention-center,26.8386472,-81.1239104,IGSA,500,466,11/28/2025
Golden State Annex,San Francisco Field Office,611 Frontage Road,McFarland,CA,93250,United States,,"611 Frontage Road McFarland, CA 93250 United States",https://www.ice.gov/detain/detention-facilities/golden-state-annex,35.6697644,-119.2278172,CDF,560,621,11/28/2025
