name,address,city,state,latitude,longitude
Washington Field Office,"14797 Murdock Street, Mail Stop 5216",Chantilly,VA,38.9114848,-77.45867679999999
Chicago Field Office,"101 W Ida B Wells Drive, Suite 4000",Chicago,IL,41.87539049999999,-87.6309402
Dallas Field Office,8101 N. Stemmons Frwy,Dallas,TX,32.8236222,-96.8721558
Detroit Field Office,"985 Michigan Avenue, Suite 207",Detroit,MI,42.3314306,-83.0589396
El Paso Field Office,"11541 Montana Ave, Suite E",El Paso,TX,31.80421399999999,-106.2910235
St Paul Field Office,"1 Federal Drive, Suite 1601",Fort Snelling,MN,44.8941668,-93.1948264
Harlingen Field Office,1717 Zoy Street,Harlingen,TX,26.1780230,-97.7141244
Houston Field Office,126 Northpoint Drive,Houston,TX,29.9380910,-95.4070080
Los Angeles Field Office,"300 North Los Angeles St., Room 7631",Los Angeles,CA,34.0537633,-118.2397336
Miramar Sub Office,2805 SW 145th Ave,Miramar,FL,25.9813963,-80.3399652
New York City Field Office,"26 Federal Plaza, 9th Floor, Suite 9-110",New York,NY,40.7152635,-74.0037546
Newark Field Office,970 Broad St. 11th Floor,Newark,NJ,40.7301363,-74.1742268
Philadelphia Field Office,114 North 8th Street,Philadelphia,PA,39.9533663,-75.1532037
Phoenix Field Office,2035 N. Central Avenue,Phoenix,AZ,33.4707941,-112.0730845
San Antonio Field Office,"1777 NE Loop 410, Floor 15",San Antonio,TX,29.517042,-98.4366327
HSI Charlotte,"3700 Arco Corporate Drive, Suite 300",Charlotte,NC,35.15147,-80.94743
HSI Detroit,"477 Michigan Avenue, Suite 1850",Detroit,MI,42.3314645,-83.05323299999999
HSI El Paso,"11541 Montana Avenue, Suite H",El Paso,TX,31.80421399999999,-106.2910235
HSI Minneapolis/St. Paul,"1 Federal Drive, Suite 1340",Fort Snelling,MN,44.8941005,-93.19494139999999
HSI Denver,"5445 DTC Pkwy, Suite 600",Greenwood Village,CO,39.6179652,-104.8971616
HSI Honolulu,595 Ala Moana Boulevard,Honolulu,HI,21.2997796,-157.8638380
HSI Dallas,"125 E. John Carpenter Freeway, Suite 800",Irving,TX,32.8700984,-96.9432454
HSI Kansas City,"4100 N Mulberry Drive, Suite 225",Kansas City,MO,39.1677085,-94.5987629
HSI Las Vegas,"501 Las Vegas Boulevard South, Suite 536",Las Vegas,NV,36.1642497,-115.1434662
HSI Chicago,"747 E. 22nd Street, Suite 300",Lombard,IL,41.8452539,-87.99930909999999
HSI Los Angeles,"300 N. Los Angeles Street, Room 6075",Los Angeles,CA,34.0539127,-118.2401525
Miami (HSI Caribbean),"ICE Attaché, Caribbean, 11226 NW 20th Street",Miami,FL,25.7914614,-80.3784806
HSI Miami,11226 Northwest 20th Street,Miami,FL,25.7914523,-80.3784688
HSI Nashville,501 Brick Church Park Drive,Nashville,TN,36.2257140,-86.7897697
HSI New Orleans,"1250 Poydras Street, Suite 2200",New Orleans,LA,29.9507683,-90.0767572
HSI New York,"601 W. 26th Street, Room 726",New York,NY,40.7515771,-74.006581
